icao,lat,lon,airport_name,country
DAAG,36.693886,3.214531,Houari Boumediene Airport,DZ
EBFN,51.090302,2.65278,Koksijde Air Base,BE
EBMB,50.913419,4.491005,Melsbroek Air Base,BE
EBSP,50.482006,5.913434,Spa-La Sauvenière Airfield,BE
EBZH,50.970375,5.375331,Kiewit Airfield Hasselt,BE
EDCM,51.296944,14.1275,Kamenz Airfield,DE
EDDB,52.361738,13.502341,Berlin Brandenburg Airport,DE
EDDF,50.026706,8.55835,Frankfurt Main Airport,DE
EDDH,53.630402,9.98823,Hamburg Helmut Schmidt Airport,DE
EDDK,50.865898,7.14274,Cologne Bonn Airport,DE
EDDL,51.289501,6.76678,Düsseldorf Airport,DE
EDDM,48.353802,11.7861,Munich Airport,DE
EDDS,48.689899,9.22196,Stuttgart Airport,DE
EDDV,52.461102,9.68508,Hannover Airport,DE
EDFE,49.96,8.643043,Frankfurt-Egelsbach Airport,DE
EDFM,49.473057,8.514167,Mannheim-City Airport,DE
EDKB,50.76889,7.163333,Bonn-Hangelar Airfield,DE
EDKN,51.124168,7.373611,Wipperfürth-Neye Airfield,DE
EDLM,51.647202,7.16333,Marl-Loemühle Airfield,DE
EDLT,51.944745,7.773621,Münster-Telgte Airfield,DE
EDMA,48.425278,10.931667,Augsburg Airport,DE
EDML,48.512019,12.034865,Landshut Airfield,DE
EDNA,48.263611,12.411667,Ampfing-Waldkraiburg Airfield,DE
EDNY,47.671299,9.51149,Bodensee Airport Friedrichshafen,DE
EDPM,48.678177,9.845909,Donzdorf Airfield,DE
EDQX,49.642341,11.162574,Hetzleser Berg Airfield,DE
EDRB,49.945278,6.565,Bitburg Airport,DE
EDTG,47.903186,7.617416,Bremgarten Airfield,DE
EDVM,52.179819,9.945803,Hildesheim Airfield,DE
EDWJ,53.681421,7.056398,Juist Airport,DE
EDWN,52.4575,7.182222,Flugplatz Nordhorn-Lingen,DE
EDWU,52.908333,8.040556,Varrelbusch Airfield,DE
EETN,59.413246,24.83264,Lennart Meri Tallinn Airport,EE
EFHK,60.318363,24.963341,Helsinki Vantaa Airport,FI
EFTP,61.414101,23.604401,Tampere-Pirkkala Airport,FI
EGBB,52.453899,-1.74803,Birmingham Airport,GB
EGBG,52.606574,-1.030226,Leicester Airport,GB
EGBJ,51.894199,-2.16722,Gloucestershire Airport,GB
EGCB,53.471699,-2.38972,Manchester Barton Aerodrome,GB
EGCC,53.349375,-2.279521,Manchester Airport,GB
EGCJ,53.788458,-1.216877,Sherburn-in-Elmet Airfield,GB
EGCL,52.739201,-0.029722,Fenland Airfield,GB
EGDM,51.152199,-1.74741,MoD Boscombe Down,GB
EGDX,51.405229,-3.433254,MOD St Athan,GB
EGGP,53.334863,-2.849637,Liverpool John Lennon Airport,GB
EGHH,50.780483,-1.839576,Bournemouth Airport,GB
EGHR,50.859832,-0.760073,Goodwood Aerodrome,GB
EGKK,51.148744,-0.185739,London Gatwick Airport,GB
EGKR,51.2136,-0.138611,Redhill Aerodrome,GB
EGLC,51.505299,0.055278,London City Airport,GB
EGLD,51.588299,-0.513056,Denham Aerodrome,GB
EGLK,51.323898,-0.8475,Blackbushe Airport,GB
EGLL,51.470748,-0.459909,London Heathrow Airport,GB
EGLM,51.500801,-0.774444,White Waltham Airfield,GB
EGNH,53.771702,-3.02861,Blackpool Airport,GB
EGNU,53.980598,-0.864722,Full Sutton Airfield,GB
EGNV,54.509201,-1.42941,Teesside International Airport,GB
EGNX,52.8311,-1.32806,East Midlands Airport,GB
EGOS,52.798199,-2.66804,RAF Shawbury,GB
EGOV,53.2481,-4.53534,Anglesey Airport,GB
EGPD,57.2019,-2.19778,Aberdeen International Airport,GB
EGPF,55.871899,-4.43306,Glasgow Airport,GB
EGPH,55.950145,-3.372288,Edinburgh Airport,GB
EGQL,56.37398,-2.868862,Leuchars Station Airfield,GB
EGSH,52.6758,1.28278,Norwich Airport,GB
EGSS,51.884998,0.235,London Stansted Airport,GB
EGTB,51.61177,-0.808316,Wycombe Air Park,GB
EGTC,52.072201,-0.616667,Cranfield Airport,GB
EGTK,51.836899,-1.32,London Oxford Airport,GB
EGTR,51.6558,-0.325833,Elstree Airfield,GB
EGUB,51.614366,-1.095991,RAF Benson,GB
EGVN,51.75,-1.58362,RAF Brize Norton,GB
EGWC,52.640524,-2.305326,RAF Cosford,GB
EGWN,51.790699,-0.737972,RAF Halton,GB
EGXT,52.612598,-0.476453,RAF Wittering,GB
EGXY,53.0228,-0.911111,RAF Syerston,GB
EGYD,53.027308,-0.493104,RAF Cranwell,GB
EHAM,52.308601,4.76389,Amsterdam Airport Schiphol,NL
EHGG,53.119107,6.577652,Groningen Airport Eelde,NL
EHLE,52.453188,5.514622,Lelystad Airport,NL
EHMZ,51.512199,3.73111,Midden-Zeeland Airfield,NL
EHRD,51.956902,4.43722,Rotterdam The Hague Airport,NL
EHSE,51.554901,4.553003,Breda International Airport,NL
EHTE,52.242764,6.050004,Teuge Airport,NL
EHTL,52.057201,5.92444,Terlet Glidersite,NL
EHTW,52.275833,6.889167,Twente Airport,NL
EHWO,51.4491,4.34203,Woensdrecht Air Base,NL
EIDW,53.428713,-6.262121,Dublin Airport,IE
EKCH,55.617900848389,12.656000137329,Copenhagen Kastrup Airport,DK
EKRK,55.585602,12.1314,Copenhagen Roskilde Airport,DK
EKYT,57.094763,9.84993,Aalborg Airport,DK
ENBO,67.269203,14.3653,Bodø Airport,NO
ENBR,60.2934,5.21814,"Bergen Airport, Flesland",NO
