callsign,route,frequency,total_samples,confidence
VIR141,EGLL_KLAX,15633,15633,1.0
UAL935,EGLL_KLAX,15513,15513,1.0
UAL230,EGLL_KLAX,15355,15355,1.0
VIR23X,EGLL_KLAX,15019,15019,1.0
AAL90,KORD_EGLL,13344,13344,1.0
UAL923,KLAX_EGLL,13018,13018,1.0
VIR142,KLAX_EGLL,12348,12348,1.0
NBT30T,KJFK_LFPG,12102,12102,1.0
NBT30G,LFPG_KJFK,12015,12015,1.0
BAW105,EGLL_OMDB,12000,12000,1.0
BAW107,EGLL_OMDB,11805,11805,1.0
UAL231,KLAX_EGLL,11709,11709,1.0
AAL98,KORD_EGLL,11411,11411,1.0
AAL86,KORD_EGLL,11349,11349,1.0
VIR24M,KLAX_EGLL,10692,10692,1.0
BAW298,KORD_EGLL,10093,10093,1.0
AAL46,KORD_EGLL,9175,9175,1.0
BAW104,OMDB_EGLL,7200,7200,1.0
AAL100,KJFK_EGLL,6531,6531,1.0
AEA49MC,EHAM_LEMD,6308,6308,1.0
BAW14K,KJFK_EGLL,6191,6191,1.0
JBU7,KJFK_EGLL,5990,5990,1.0
VLG1AA,LEBL_EGKK,5809,5809,1.0
TAP1356,LPPT_EGLL,5772,5772,1.0
EIN1XT,EIDW_EGLL,5533,5533,1.0
VLG7822,LEBL_EGKK,5399,5399,1.0
BAW18A,KJFK_EGLL,5385,5385,1.0
EIN154,EIDW_EGLL,5280,5280,1.0
VLG414J,LEBL_EGKK,5273,5273,1.0
VIR138M,KJFK_EGLL,5271,5271,1.0
BAW499C,LPPT_EGLL,5243,5243,1.0
DLH6VR,EDDM_EGLL,5197,5197,1.0
DLH902,EDDF_EGLL,5195,5195,1.0
DLH904,EDDF_EGLL,5065,5065,1.0
DLH900,EDDF_EGLL,5000,5000,1.0
DLH2ME,EDDF_EGLL,4996,4996,1.0
BAW831S,EIDW_EGLL,4966,4966,1.0
VIR154,KJFK_EGLL,4943,4943,1.0
ETH713,LEMD_LIRF,4938,4938,1.0
VIR46K,KJFK_EGLL,4908,4908,1.0
EIN156,EIDW_EGLL,4904,4904,1.0
DLH5RP,EDDF_EGLL,4875,4875,1.0
VLG8EK,LEBL_EGKK,4869,4869,1.0
DAL3,KJFK_EGLL,4821,4821,1.0
KQA101,EGLL_KJFK,4800,4800,1.0
RBA98,EGLL_OMDB,4800,4800,1.0
ETD11B,EGLL_KJFK,4800,4800,1.0
CSN303,OMDB_EGLL,4798,4798,1.0
BAW8DS,KLAX_EGLL,4790,4790,1.0
AEA1091,LEMD_EHAM,4790,4790,1.0
VLG49HR,LEBL_EGKK,4776,4776,1.0
BAW28F,KLAX_EGLL,4708,4708,1.0
VIR4C,KJFK_EGLL,4708,4708,1.0
DAL1,KJFK_EGLL,4656,4656,1.0
AAL104,KJFK_EGLL,4633,4633,1.0
EZY86NZ,LEBL_EGKK,4601,4601,1.0
VLG34RD,LEBL_EGKK,4592,4592,1.0
BAW947L,EDDM_EGLL,4563,4563,1.0
AAL106,KJFK_EGLL,4553,4553,1.0
EJU94RQ,LEBL_EGKK,4534,4534,1.0
EIN158,EIDW_EGLL,4527,4527,1.0
VIR48J,KJFK_EGLL,4519,4519,1.0
SHT9B,EGPH_EGLL,4517,4517,1.0
ETH712,LIRF_LEMD,4485,4485,1.0
SHT9U,EGPH_EGLL,4471,4471,1.0
DLH5PL,EDDM_EGLL,4464,4464,1.0
SWR49M,LSGG_EGLL,4463,4463,1.0
DLH3NH,EDDM_EGLL,4463,4463,1.0
BAW813C,EKCH_EGLL,4439,4439,1.0
BAW176A,KJFK_EGLL,4429,4429,1.0
BAW51P,LPPT_EGLL,4407,4407,1.0
KLM35B,EHAM_EGLL,4398,4398,1.0
AAL136,KLAX_EGLL,4387,4387,1.0
JBU1107,KJFK_EGLL,4380,4380,1.0
BAW42DB,EIDW_EGLL,4351,4351,1.0
TAP52LH,LPPT_EGLL,4327,4327,1.0
BAW172,KJFK_EGLL,4312,4312,1.0
VIR8Y,KLAX_EGLL,4286,4286,1.0
AFR28EN,LFPG_EGLL,4210,4210,1.0
DLH3PM,EDDF_EGLL,4186,4186,1.0
SWR8KG,LSZH_EGLL,4184,4184,1.0
SAS84F,EKCH_EGLL,4169,4169,1.0
BAW11J,KJFK_EGLL,4164,4164,1.0
EIN16Y,EIDW_EGLL,4164,4164,1.0
UAL938,KORD_EGLL,4160,4160,1.0
BAW835W,EIDW_EGLL,4150,4150,1.0
BAW43XP,EHAM_EGLL,4098,4098,1.0
LAN711,LEMD_SKBO,4079,4079,1.0
DLH7VV,EDDM_EGLL,4044,4044,1.0
SWR188L,LSZH_EGLL,4029,4029,1.0
BAW949L,EDDM_EGLL,4028,4028,1.0
BAW727G,LSGG_EGLL,4020,4020,1.0
BAW903U,EDDF_EGLL,4017,4017,1.0
SHT9Z,EGPH_EGLL,3992,3992,1.0
BAW41R,EHAM_EGLL,3985,3985,1.0
SWR7EA,LSZH_EGLL,3975,3975,1.0
VLG3ZZ,LEMG_EGKK,3967,3967,1.0
VIR10H,KJFK_EGLL,3939,3939,1.0
BAW815C,EKCH_EGLL,3920,3920,1.0
