prefix,route,frequency,total_samples,confidence
SYS,EGOS_EGOS,76263,76263,1.0
EAX,LELL_LELL,64112,64112,1.0
ZXP,EHAM_EHAM,46589,46589,1.0
FBY,LEBG_LEBG,43203,43203,1.0
OYF,EKRK_EKRK,33590,33590,1.0
GLD,EGTK_EGTK,24823,24823,1.0
SMK,UG11_UG11,24530,24530,1.0
NCK,EGUB_EGUB,23813,23813,1.0
BAS,LKPD_LKPD,22012,22012,1.0
DLZ,EDNY_EDNY,19782,19782,1.0
UAU,EGDM_EGDM,18287,18287,1.0
PHB,EHSE_EHSE,16545,16545,1.0
PHZ,EHLE_EHLE,15619,15619,1.0
EMU,EGYD_EGYD,13616,13616,1.0
ZOD,EGNV_EGNV,13311,13311,1.0
JUM,LOWG_LOWG,12836,12836,1.0
ADM,LPEV_LPEV,11891,11891,1.0
UAD,EGDM_EGDM,11809,11809,1.0
GII,EGDM_EGDM,11143,11143,1.0
UKP,EGNX_EGNX,10937,10937,1.0
IDA,LIRU_LIRU,10290,10290,1.0
TFL,EHAM_EHAM,10244,10244,1.0
ETP,EGDM_EGDM,10241,10241,1.0
NCG,EHAM_EHAM,10228,10228,1.0
AOS,EGBJ_EGBJ,9685,9685,1.0
SCQ,ENGK_ENGK,9437,9437,1.0
UAT,EGXT_EGXT,9042,9042,1.0
UAW,EGDX_EGDX,9025,9025,1.0
OXF,EGTK_EGTK,8978,8978,1.0
RVP,LPSO_LPSO,8841,8841,1.0
VYT,EGOV_EGOV,8544,8544,1.0
OHD,EFTP_EFTP,8019,8019,1.0
OEV,LOAN_LOAN,7973,7973,1.0
PCH,LSZC_LSZC,7499,7499,1.0
SFY,EGBJ_EGBJ,7401,7401,1.0
LFA,EGTC_EGTC,7313,7313,1.0
DMT,EDKB_EDKB,6869,6869,1.0
SYE,EGXY_EGXY,6823,6823,1.0
DMX,EDLM_EDLM,6775,6775,1.0
JOK,ETHN_ETHN,6330,6330,1.0
SPE,EPKP_EPKP,6299,6299,1.0
PHI,EHLE_EHLE,6170,6170,1.0
SXA,LGTT_LGTT,6130,6130,1.0
BSO,LELL_LELL,6114,6114,1.0
OYB,EKRK_EKRK,5691,5691,1.0
IBI,EDFE_EDFE,5525,5525,1.0
GSA,EGWN_EGWN,5102,5102,1.0
OHC,EDFE_EDFE,5052,5052,1.0
GFB,EG32_EG32,5001,5001,1.0
IRN,EGOS_EGOS,4952,4952,1.0
GGZ,EGTR_EGTR,4924,4924,1.0
OKL,LKHK_LKHK,4908,4908,1.0
RVR,EGGP_EGGP,4893,4893,1.0
HBV,LSZC_LSZC,4864,4864,1.0
ECM,LELL_LELL,4839,4839,1.0
KQA,EGLL_KJFK,4800,4800,1.0
CSN,OMDB_EGLL,4798,4798,1.0
GFO,EG32_EG32,4769,4769,1.0
FHR,LFRE_LFRE,4498,4498,1.0
DKR,EHTL_EHTL,4450,4450,1.0
BPO,EDKB_EDKB,4433,4433,1.0
UAY,EGWC_EGWC,4358,4358,1.0
OYC,EKRK_EKRK,4218,4218,1.0
FHP,LEMS_LEMS,4088,4088,1.0
FYS,LECU_LECU,3966,3966,1.0
OKF,LKLT_LKLT,3905,3905,1.0
UAH,EGYD_EGYD,3804,3804,1.0
OOR,EBZH_EBZH,3606,3606,1.0
GCH,EGNU_EGNU,3581,3581,1.0
TCU,LTBW_LTBW,3479,3479,1.0
GBY,EGLM_EGLM,3462,3462,1.0
GOK,EGCB_EGCB,3278,3278,1.0
UAA,EGQL_EGQL,3203,3203,1.0
GEN,EGTR_EGTR,3136,3136,1.0
DMI,EDKB_EDKB,3135,3135,1.0
BRM,EGNV_EGNV,3112,3112,1.0
GCL,EGTR_EGTR,3081,3081,1.0
OKH,LKHK_LKHK,3015,3015,1.0
BEL,EBMB_LEMD,2978,2978,1.0
GSU,EGBJ_EGBJ,2952,2952,1.0
SEJ,ESSB_ESSB,2899,2899,1.0
BAD,LPBJ_LPBJ,2893,2893,1.0
WAG,EGYD_EGYD,2881,2881,1.0
GBH,EGNH_EGNH,2836,2836,1.0
ZER,LFBD_LFBD,2754,2754,1.0
OYE,EKRK_EKRK,2698,2698,1.0
SMG,LKPD_LKPD,2691,2691,1.0
DEQ,EDFE_EDFE,2691,2691,1.0
HBR,LSZB_LSZB,2662,2662,1.0
GIC,EGTR_EGTR,2660,2660,1.0
GFI,EGBG_EGBG,2637,2637,1.0
GTC,EGHR_EGHR,2607,2607,1.0
ECI,LELL_LELL,2537,2537,1.0
GCC,EGTR_EGTR,2478,2478,1.0
GTW,EGCB_EGCB,2433,2433,1.0
ABL,EGLK_EGLK,2427,2427,1.0
RLE,EGVN_EGVN,2400,2400,1.0
DKF,EHTL_EHTL,2400,2400,1.0
FHE,LFPN_LFPN,2391,2391,1.0
LYL,EYVP_EYVP,2366,2366,1.0
CSH,LPBJ_LPBJ,2359,2359,1.0
FGA,LFLU_LFLU,2352,2352,1.0
GDD,EGTR_EGTR,2339,2339,1.0
SFS,EDMA_EDMA,2288,2288,1.0
UAJ,EGQL_EGQL,2281,2281,1.0
PHM,EHGG_EHGG,2232,2232,1.0
CRI,EGHH_EGHH,2215,2215,1.0
HBW,LSZL_LSZL,2174,2174,1.0
DHE,EDKB_EDKB,2153,2153,1.0
FPT,LSZL_LSZL,2101,2101,1.0
GDP,EGNH_EGNH,2100,2100,1.0
OOO,EBFN_EBFN,2078,2078,1.0
QFY,LECU_LECU,2069,2069,1.0
SPL,EPGL_EPGL,2062,2062,1.0
JIG,EGVN_EGVN,2044,2044,1.0
ULR,EGPD_EGPD,2039,2039,1.0
CJK,EGNU_EGNU,2009,2009,1.0
LOG,EGPD_EGPD,1980,1980,1.0
GSJ,EGTK_EGTK,1974,1974,1.0
BDN,EGDM_EGDM,1899,1899,1.0
LYG,EYVP_EYVP,1882,1882,1.0
FHI,LFPN_LFPN,1869,1869,1.0
HBU,LSMA_LSMA,1863,1863,1.0
FLO,EDVM_EDVM,1851,1851,1.0
FHH,LFMA_LFMA,1816,1816,1.0
DEJ,EDPM_EDPM,1769,1769,1.0
OKA,LKHK_LKHK,1747,1747,1.0
GRI,EGNU_EGNU,1715,1715,1.0
LYT,EYVP_EYVP,1695,1695,1.0
GLY,EGKR_EGKR,1685,1685,1.0
PHE,EHSE_EHSE,1636,1636,1.0
GTO,EGBG_EGBG,1619,1619,1.0
CAL,LFBD_LFBD,1608,1608,1.0
EIH,EGTR_EGTR,1606,1606,1.0
MTE,EGOV_EGOV,1598,1598,1.0
DHB,EDWN_EDWN,1589,1589,1.0
BLN,EGVN_EGVN,1576,1576,1.0
DKK,EDMA_EDMA,1573,1573,1.0
CLB,EGNV_EGNV,1539,1539,1.0
DIP,EDDV_EDDV,1538,1538,1.0
OOV,EBSP_EBSP,1529,1529,1.0
GOB,EGNH_EGNH,1512,1512,1.0
GRR,EGNX_EGNX,1471,1471,1.0
MOR,LFMA_LFMA,1449,1449,1.0
PRF,EGYD_EGYD,1414,1414,1.0
GBZ,EGLM_EGLM,1399,1399,1.0
FGT,LFBD_LFBD,1386,1386,1.0
DIW,EDMA_EDMA,1350,1350,1.0
MDI,EGNV_EGNV,1325,1325,1.0
AFM,LFLU_LFLU,1294,1294,1.0
ABC,EGWN_EGWN,1289,1289,1.0
FHZ,LFCL_LFCL,1289,1289,1.0
HBN,LSZX_LSZX,1282,1282,1.0
GIL,EGHR_EGHR,1279,1279,1.0
GSE,EGSH_EGSH,1255,1255,1.0
DEY,EDML_EDML,1228,1228,1.0
OOD,EBZH_EBZH,1221,1221,1.0
EXM,EGTK_EGTK,1210,1210,1.0
GAR,EGNU_EGNU,1208,1208,1.0
FHF,LFMA_LFMA,1156,1156,1.0
GVO,EGBG_EGBG,1143,1143,1.0
GMA,EGBJ_EGBJ,1130,1130,1.0
PIR,EGNV_EGNV,1097,1097,1.0
DMC,EDVM_EDVM,1081,1081,1.0
GLK,EGLK_EGLK,1056,1056,1.0
SAB,LPBJ_LPBJ,1046,1046,1.0
HBH,LSZC_LSZC,1014,1014,1.0
HBD,LSZL_LSZL,1004,1004,1.0
GAX,EGNU_EGNU,1001,1001,1.0
GZD,EGNU_EGNU,1000,1000,1.0
ABE,LFBD_LFBD,989,989,1.0
GUC,EGWN_EGWN,987,987,1.0
GJE,EGTC_EGTC,966,966,1.0
DGA,EDFE_EDFE,954,954,1.0
SHY,EGOS_EGOS,953,953,1.0
GHY,EGLK_EGLK,953,953,1.0
HBQ,LSZV_LSZV,938,938,1.0
MIL,LFBD_LFBD,932,932,1.0
GBT,EGLM_EGLM,917,917,1.0
TCA,LTBW_LTBW,911,911,1.0
EAP,LFPN_LFPN,892,892,1.0
SPN,EPGL_EPGL,878,878,1.0
HBO,LSGL_LSGL,868,868,1.0
OMM,EPGL_EPGL,864,864,1.0
PHJ,EHTE_EHTE,860,860,1.0
LYA,EYVP_EYVP,858,858,1.0
BHL,EGPD_EGPD,850,850,1.0
HKS,EGPD_EGPD,834,834,1.0
GKK,EGLM_EGLM,831,831,1.0
BUD,LKPD_LKPD,822,822,1.0
FWW,LFMA_LFMA,820,820,1.0
FGF,LFPL_LFPL,820,820,1.0
DMA,EBZH_EBZH,812,812,1.0
GBJ,EGTB_EGTB,783,783,1.0
GBI,EGLK_EGLK,770,770,1.0
FJD,LFLU_LFLU,759,759,1.0
GTA,EGBG_EGBG,740,740,1.0
GDA,EGKR_EGKR,733,733,1.0
ANG,LECU_LECU,699,699,1.0
CAB,LKPD_LKPD,694,694,1.0
FGU,LFCL_LFCL,694,694,1.0
GEL,EGLK_EGLK,680,680,1.0
AAR,LOWW_EDDF,673,673,1.0
MOC,LPBJ_LPBJ,669,669,1.0
SAZ,LSGG_LSZH,669,669,1.0
GGI,EGTK_EGTK,652,652,1.0
IGO,LTFM_LTFM,651,651,1.0
GAT,EGKR_EGKR,643,643,1.0
EAJ,LTFJ_LTFE,636,636,1.0
GSK,EGHH_EGHH,636,636,1.0
FGM,LFPL_LFPL,633,633,1.0
SPH,EPWS_EPWS,631,631,1.0
LOT,EPWA_LTAI,618,618,1.0
DHY,EDKB_EDKB,614,614,1.0
FGK,LFMA_LFMA,613,613,1.0
HAB,EHLE_EHLE,599,599,1.0
GSN,EGBG_EGBG,597,597,1.0
OYT,EKRK_EKRK,590,590,1.0
BRO,EGNV_EGNV,589,589,1.0
CCA,LFPG_LIRF,587,587,1.0
GJJ,EGLK_EGLK,581,581,1.0
CYP,LGAV_LCLK,580,580,1.0
GGS,EGLD_EGLD,573,573,1.0
SEK,EDDH_EDDM,554,554,1.0
GGM,EGBJ_EGBJ,553,553,1.0
GWW,EGLM_EGLM,548,548,1.0
FSM,LECU_LECU,542,542,1.0
ALK,LFPG_EDDF,541,541,1.0
VCJ,LEPA_LSZH,536,536,1.0
GBG,EGNX_EGNX,528,528,1.0
GDU,EGLM_EGLM,509,509,1.0
OKO,LKLT_LKLT,508,508,1.0
FGO,LFQO_LFQO,507,507,1.0
FJL,LFPZ_LFPZ,505,505,1.0
URO,EGHH_EGHH,504,504,1.0
MDF,LGAV_LGTS,497,497,1.0
GXI,EGBJ_EGBJ,496,496,1.0
OKP,LKHK_LKHK,485,485,1.0
SRD,EGDX_EGDX,484,484,1.0
GPL,EGTB_EGTB,481,481,1.0
OOP,EBSP_EBSP,471,471,1.0
GHI,EGTR_EGTR,463,463,1.0
DHH,EDKB_EDKB,459,459,1.0
QAF,KLAX_EGLL,454,454,1.0
XRO,EHAM_LFMN,447,447,1.0
GOP,EGLM_EGLM,446,446,1.0
DUB,EGSS_EIDW,438,438,1.0
FPH,LFRE_LFRE,431,431,1.0
AIC,EGLL_KJFK,429,429,1.0
HBM,LSZR_LSZR,429,429,1.0
WRB,EGYD_EGYD,423,423,1.0
GIP,EGHR_EGHR,423,423,1.0
GFF,EGNV_EGNV,420,420,1.0
GFM,LEMG_EIDW,417,417,1.0
GOM,EGCB_EGCB,413,413,1.0
OHH,EFTP_EFTP,413,413,1.0
GEG,EGTK_EGTK,409,409,1.0
GHM,EGWN_EGWN,401,401,1.0
OEG,LOWS_LOWS,385,385,1.0
AOJ,EGSS_EIDW,379,379,1.0
SPV,EPWS_EPWS,377,377,1.0
YZR,EHAM_EHAM,376,376,1.0
LIO,LOWS_LOWS,366,366,1.0
VJA,LFMN_EHAM,362,362,1.0
GOZ,EGGP_EGGP,360,360,1.0
DCL,LSGG_EHAM,358,358,1.0
FGY,LFQO_LFQO,355,355,1.0
SRN,ENBO_ENGM,354,354,1.0
JPV,LEPA_LSZH,338,338,1.0
GHA,EGHR_EGHR,338,338,1.0
CTM,EIDW_EHAM,337,337,1.0
LEA,EHLE_EHLE,333,333,1.0
JEF,EGCC_EHAM,316,316,1.0
GID,EGLK_EGLK,315,315,1.0
SUZ,EHTE_EHTE,315,315,1.0
IRI,LIRU_LIRU,314,314,1.0
PJZ,EGLL_LSGG,313,313,1.0
RYS,EPWA_LTAI,310,310,1.0
TJD,EHAM_LFMN,310,310,1.0
OKT,LKHK_LKHK,308,308,1.0
OKV,LKHK_LKHK,302,302,1.0
EIA,LPFR_EIDW,301,301,1.0
OKY,LKHK_LKHK,300,300,1.0
DMK,EDNA_EDNA,296,296,1.0
DMW,LOGW_LOGW,296,296,1.0
QGA,LSZH_EDDB,285,285,1.0
MSC,LEMD_LEBL,279,279,1.0
TUA,OMDB_LTFM,278,278,1.0
ECK,LEBL_LEMG,278,278,1.0
DII,EDFE_EDFE,274,274,1.0
GFE,EGLK_EGLK,268,268,1.0
MBI,LSGG_LFMN,267,267,1.0
GGO,EGBJ_EGBJ,265,265,1.0
LDX,EHAM_LFMN,261,261,1.0
SNM,LSGG_LFMN,260,260,1.0
TCS,LTFM_LTFE,259,259,1.0
RRR,EGVN_EGVN,257,257,1.0
TVP,EPWA_LTAI,253,253,1.0
KNE,LTFJ_LTCG,251,251,1.0
DIA,LEPA_EDDL,249,249,1.0
FJH,LFMA_LFMA,244,244,1.0
DBO,EDDL_EDDM,243,243,1.0
FEN,EGTK_EGTK,236,236,1.0
TVS,LEPA_EDDF,235,235,1.0
IJM,EDDL_EDDM,233,233,1.0
TLJ,LEMD_LEIB,232,232,1.0
QQE,SKBO_LEMD,230,230,1.0
REV,EGNX_EGNX,228,228,1.0
PAV,LSGG_LFMN,228,228,1.0
ETR,LEMD_LEMD,225,225,1.0
GED,EGWN_EGWN,224,224,1.0
JTD,ESSA_EFHK,224,224,1.0
DCU,LOWW_EDDB,224,224,1.0
QAV,EHAM_LSZH,223,223,1.0
PHL,LEIB_LEBL,223,223,1.0
YIF,ENBR_ENVA,222,222,1.0
IRB,OMDB_LTFM,222,222,1.0
SUA,EDDM_EDDH,220,220,1.0
LTC,LEIB_LEBL,218,218,1.0
FGL,LFPZ_LFPZ,213,213,1.0
DHM,EDML_EDML,211,211,1.0
SAM,LFBD_LFBD,210,210,1.0
PHY,EHAM_EHAM,208,208,1.0
VVV,EHAM_EDDF,200,200,1.0
FXT,EKRK_EKRK,199,199,1.0
DCC,EDDH_LEPA,199,199,1.0
ORT,EIDW_EGPH,197,197,1.0
NFA,ENBR_ENGM,195,195,1.0
FLI,ENGM_EKCH,191,191,1.0
DHK,ENGM_EKCH,191,191,1.0
AME,LEMD_LEBL,190,190,1.0
LBD,ENBO_ENGM,189,189,1.0
TCT,LTFJ_LTFE,186,186,1.0
ATL,EDDH_LEPA,186,186,1.0
BOH,LEBL_LEPA,182,182,1.0
TCN,LTFJ_LTFE,177,177,1.0
ELJ,LSGG_LSZH,175,175,1.0
PHU,EHAM_EHAM,173,173,1.0
GDB,EGHR_EGHR,171,171,1.0
ABN,LTFM_LTFM,170,170,1.0
HUE,LSGG_LSZH,168,168,1.0
JZR,LTFJ_LTCG,167,167,1.0
GSP,LSZH_LSGG,167,167,1.0
SXH,LGAV_LGTS,164,164,1.0
XGO,LEIB_LEPA,163,163,1.0
GAS,EGBJ_EGBJ,163,163,1.0
MDT,ENBR_ENGM,158,158,1.0
TOY,LEIB_LEMD,154,154,1.0
SAH,LEBL_LEIB,153,153,1.0
EMC,EGPH_EIDW,152,152,1.0
OMA,LTFM_OMDB,151,151,1.0
SPI,ETHN_ETHN,144,144,1.0
PNC,LSGG_LSZH,141,141,1.0
TCL,LTFM_LTFE,141,141,1.0
LYB,LELL_LELL,135,135,1.0
AOM,LEBL_LEPA,135,135,1.0
OOL,EBZH_EBZH,133,133,1.0
DOB,EDMA_EDMA,119,119,1.0
CSD,LEBL_LEIB,118,118,1.0
AZO,LTAI_LTFM,114,114,1.0
MEE,LEBL_LEPA,113,113,1.0
DOV,EFHK_ESSA,112,112,1.0
CPV,LIRF_LIML,111,111,1.0
TJS,EDDF_EDDM,110,110,1.0
CAT,EKCH_EKYT,108,108,1.0
NOR,ENZV_ENBR,107,107,1.0
VPC,EFHK_EETN,99,99,1.0
