route,avg_duration_sec,median_duration_sec,min_duration_sec,max_duration_sec,samples,avg_duration_min
KJFK_EGLL,24408.16,21983.0,19753,84416,105691,406.8
EHAM_EHAM,23502.24,6307.0,613,82930,87442,391.7
LELL_LELL,4678.53,4246.0,601,18410,85644,77.98
EGOS_EGOS,4716.63,4674.0,1044,7922,82168,78.61
EIDW_EGLL,3801.5,3794.0,2644,5117,78371,63.36
KLAX_EGLL,34931.7,35013.0,33560,36343,77441,582.19
EGLL_KLAX,38124.08,38213.0,36345,39609,75886,635.4
KORD_EGLL,25371.64,25286.0,23543,27784,73241,422.86
EPPO_EPPO,6252.41,5571.0,986,34584,69696,104.21
EHTE_EHTE,3063.17,2545.0,618,10455,67216,51.05
LEBG_LEBG,5632.79,4050.0,615,19886,67171,93.88
LGTT_LGTT,3904.6,3825.0,682,11437,64663,65.08
EDDF_EGLL,6626.75,4885.0,3680,53035,64186,110.45
LEBL_EGKK,6881.62,6735.0,5757,8271,61168,114.69
LEMD_LEMD,49624.71,64741.0,881,81929,59098,827.08
EHGG_EHGG,3666.49,3533.0,678,8273,57909,61.11
EGNX_EGNX,4859.72,3008.0,1146,36421,54269,81.0
LSZB_LSZB,4571.29,3512.0,929,21256,53956,76.19
EGTR_EGTR,3243.91,2913.0,726,6267,53770,54.07
EGDM_EGDM,3078.36,3358.0,793,6805,53379,51.31
EKRK_EKRK,4776.9,4119.0,688,12613,53167,79.61
EHAM_EGLL,10382.51,3459.0,2368,54553,52413,173.04
EDDM_EGLL,5991.97,6037.0,4752,6810,52187,99.87
EGLL_KJFK,26209.03,26109.0,24109,28139,49182,436.82
EGTK_EGTK,4987.34,5125.0,1603,8627,46897,83.12
EDFE_EDFE,3972.88,3355.0,826,10485,46138,66.21
EDKB_EDKB,3180.41,3347.0,635,6279,45344,53.01
EGYD_EGYD,4505.65,4362.0,655,8263,44446,75.09
LFPG_EGLL,3096.51,3131.0,2171,3916,41967,51.61
EGLL_OMDB,25410.79,24672.0,21637,47451,41551,423.51
KJFK_LFPG,22344.1,22247.0,20881,24813,41403,372.4
LFPG_KJFK,28308.19,27468.0,26040,76493,41324,471.8
LSZH_EGLL,6029.07,6035.0,4496,11726,41260,100.48
EGPH_EGLL,4291.58,4296.0,2890,5881,40642,71.53
LSZL_LSZL,2393.98,2157.0,613,6288,39645,39.9
LPPT_EGLL,8152.79,8133.0,7206,9073,39610,135.88
LEMD_LIRF,6680.03,6648.0,6186,7608,39376,111.33
LEMG_EGKK,8965.91,8794.0,7741,10629,39246,149.43
EHLE_EHLE,3947.9,3867.0,874,7062,39170,65.8
LPFR_EGKK,9059.83,8800.0,7788,10714,38641,151.0
LSGG_EGLL,4890.21,4923.0,4068,5698,38057,81.5
EDNY_EDNY,8668.63,5201.0,802,36650,37595,144.48
EHDB_EHDB,8317.43,4898.0,635,26646,37216,138.62
LIRF_LEMD,7007.34,7013.0,6430,7761,37060,116.79
LEBL_EHAM,6717.98,6718.0,5943,7504,35801,111.97
LSZX_LSZX,2739.64,2226.0,658,5817,35018,45.66
EGNH_EGNH,2677.73,2731.0,974,5590,34749,44.63
LKPD_LKPD,3089.61,3082.0,635,6995,34276,51.49
EGBJ_EGBJ,4214.87,3545.0,859,8144,34082,70.25
EGCB_EGCB,2875.08,2835.0,647,6152,33946,47.92
EHTL_EHTL,6016.42,3672.0,692,20496,33939,100.27
EDDL_LEPA,7277.26,6823.0,6196,26687,33868,121.29
OMDB_EGLL,34583.02,25827.0,24470,81156,33801,576.38
LFPO_LPPT,8041.12,8026.0,7096,9156,33777,134.02
LOWG_LOWG,4350.69,3421.0,908,32464,32944,72.51
EKCH_EGLL,6276.97,6293.0,5057,7403,32677,104.62
ENGM_ENVA,2273.31,2249.0,2067,3483,32614,37.89
EGLL_EDDF,4217.21,3662.0,3174,54095,31859,70.29
LEPA_EDDL,7570.55,7251.0,6776,20718,31720,126.18
EHAM_LEBL,6456.19,6387.0,5461,7910,30957,107.6
EGLL_EDDM,4816.17,4833.0,4404,5325,30839,80.27
EGKK_LEBL,5750.31,5707.0,5053,6940,30441,95.84
LPPT_LFPO,7375.35,7374.0,6582,8034,30415,122.92
EPKP_EPKP,3292.6,3488.0,643,6727,29916,54.88
LIRF_LICZ,3026.35,2884.0,2447,4768,29401,50.44
EGNV_EGNV,6687.43,6463.0,2452,18934,29322,111.46
LFPN_LFPN,3082.08,2867.0,682,9196,29320,51.37
LEMD_LPPT,3520.26,3477.0,2979,4251,28733,58.67
EKCH_ENGM,3077.38,3052.0,2553,3753,28683,51.29
LEBL_LFPG,5312.21,5294.0,4915,5935,28463,88.54
EGLM_EGLM,2812.35,2684.0,606,8285,28324,46.87
EGLL_EIDW,3105.19,3061.0,2544,4603,28254,51.75
EGLL_LPPT,8431.18,8396.0,7163,9787,28059,140.52
LOWS_LOWS,4010.03,2735.0,678,33065,27858,66.83
LEBL_LIRF,4655.66,4664.0,4123,5209,26936,77.59
ENVA_ENGM,2559.93,2507.0,2120,3721,26871,42.67
EKCH_ESSA,3202.26,3169.0,2876,4351,26682,53.37
EHAM_EKCH,3364.66,3343.0,3026,4034,26669,56.08
LFMA_LFMA,3105.94,2989.0,666,6188,26638,51.77
EHAM_LPPT,9898.78,9795.0,8713,11277,26590,164.98
EGLL_EHAM,2499.38,2481.0,2099,2918,26227,41.66
EHTW_EHTW,3131.12,3010.0,642,7811,26124,52.19
ENGM_EKCH,3095.36,3057.0,2625,4062,25793,51.59
EPBC_EPBC,3669.35,4418.0,623,7132,25493,61.16
LFPG_LEBL,4738.09,4689.0,4198,6971,25296,78.97
EHAM_EIDW,4558.43,4532.0,4028,5407,25253,75.97
EGUB_EGUB,2129.66,2342.0,836,4042,25248,35.49
LSZC_LSZC,4646.88,4673.0,691,7474,25084,77.45
EIDW_EHAM,3838.09,3813.0,3473,5405,24915,63.97
LEPA_LEBL,1806.42,1797.0,1393,2248,24710,30.11
ENBR_ENGM,2212.95,2182.0,1849,3232,24679,36.88
LEBL_EGLL,7003.88,7113.0,6131,7744,24561,116.73
UG11_UG11,2147.85,2181.0,1300,2623,24530,35.8
EDDH_EDDM,5171.19,3559.0,3044,35733,24521,86.19
EPGL_EPGL,4863.22,4532.0,1372,9385,24513,81.05
ENGM_ENBR,2365.75,2287.0,2021,7125,24216,39.43
LIRF_LEBL,4699.4,4683.0,4244,5402,24201,78.32
LPPR_LFPO,6345.66,6307.0,5589,6949,24145,105.76
LPPT_LEMD,3243.61,3122.0,2660,5062,23889,54.06
EGLL_LSGG,5969.64,4253.0,3798,59418,23858,99.49
LEMD_LFPO,5609.96,5588.0,5146,6707,23767,93.5
LEIB_LEBL,2167.98,2169.0,1603,2742,23501,36.13
EGKK_LEMG,8357.78,8329.0,7791,9176,23471,139.3
EDDM_EDDH,6169.66,3311.0,3007,35220,23444,102.83
LEBL_LPPT,5662.09,5665.0,4846,6785,23318,94.37
LEMD_LEPA,3427.53,3336.0,2894,5614,22889,57.13
EGLL_LSZH,4628.62,4581.0,4029,5442,22886,77.14
LFPO_LPPR,6712.25,6634.0,5697,7834,22630,111.87
LFPG_LIRF,7796.58,5815.0,5407,80414,22409,129.94
EDWN_EDWN,1157.96,1124.0,688,2796,22173,19.3
LEMD_LEBL,3027.23,3016.0,2544,3637,22056,50.45
EFHK_ESSA,2635.26,2567.0,2238,4247,21931,43.92
LIMC_LEBL,4230.2,4224.0,3648,4824,21922,70.5
LSZH_EHAM,4576.79,4508.0,3940,5311,21858,76.28
EGLL_LFPG,3567.89,2740.0,2317,47887,21811,59.46
LEPA_EGKK,7707.45,7884.0,6584,8808,21790,128.46
LEBL_LFPO,5153.76,5119.0,4785,5941,21661,85.9
EGLL_EGPH,3291.77,3236.0,2799,3828,21425,54.86
LEMD_SKBO,33732.36,33694.0,32125,35661,21315,562.21
ENGM_ESSA,2407.54,2402.0,2166,2781,21281,40.13
LEBL_LEMD,3049.02,3000.0,2705,4432,21192,50.82
EHWO_EHWO,8345.34,5505.0,613,18142,21057,139.09
ESSA_EFHK,2455.7,2428.0,2125,3218,21029,40.93
LEPA_LEMD,3285.29,3175.0,2729,4731,20781,54.75
EHAM_LEMD,8124.72,7336.0,6657,58172,20752,135.41
EDDF_EDDH,2608.77,2593.0,2261,3134,20748,43.48
EGKK_LPFR,8553.91,8516.0,7859,9618,20684,142.57
LEPA_EDDK,7254.62,7161.0,6242,8087,20672,120.91
LFPG_EDDF,8740.01,3011.0,2427,77539,20573,145.67
LFPG_LFMN,6040.01,4237.0,3711,44744,20302,100.67
EHSE_EHSE,2702.56,2466.0,1389,4510,20296,45.04
LFPO_LEMD,5543.87,5480.0,4773,6460,20290,92.4
LPPT_EHAM,8746.98,8753.0,7756,10035,20112,145.78
EGLK_EGLK,3467.62,2862.0,690,6867,20018,57.79
LIML_LIRF,2912.98,2896.0,2567,3488,19859,48.55
LEMD_EHAM,7098.59,7093.0,6436,7789,19823,118.31
LEPA_EDDM,6471.21,6439.0,5870,7134,19681,107.85
ESSA_ENGM,2613.04,2608.0,2262,3179,19645,43.55
EHAM_EDDF,2484.28,2429.0,2113,3544,19539,41.4
EIDW_EGCC,2377.07,2209.0,1978,3359,19279,39.62
LPPT_LEBL,5167.21,5190.0,4575,5835,19094,86.12
LOWW_EDDF,3600.93,3613.0,3227,4013,19079,60.02
ENZV_ENGM,2350.33,2303.0,1903,3391,19052,39.17
LEBL_LIMC,4316.91,4318.0,3717,4932,18829,71.95
LEMD_LPPR,2992.4,2954.0,2542,3851,18681,49.87
LFRV_LFRV,3264.27,2331.0,680,6692,18549,54.4
LTFM_LTFE,3237.31,3248.0,2622,4419,18525,53.96
EDDF_LOWW,3481.5,3509.0,2997,3875,18431,58.02
LFMN_LFPG,4099.95,4039.0,3643,7781,18335,68.33
SKBO_LEMD,33117.94,32758.0,31790,44307,18330,551.97
EDDF_EHAM,2996.48,2839.0,2323,5967,18323,49.94
EGCC_EHAM,2942.03,2901.0,2547,3800,18249,49.03
LIRU_LIRU,3777.42,3279.0,776,12140,18218,62.96
ESSA_EKCH,3286.8,3241.0,2837,4955,18197,54.78
EGXT_EGXT,2804.15,2893.0,1276,4469,18128,46.74
LGAV_LFPG,10172.84,10145.0,9456,10988,18073,169.55
LTFM_LTFM,24521.38,19823.0,3884,78125,17958,408.69
LIRF_LFPG,5728.0,5652.0,5366,6438,17836,95.47
LEBL_LEPA,1527.35,1518.0,1161,2051,17825,25.46
LFMN_LFPO,4052.75,4004.0,3616,5036,17780,67.55
EKCH_EHAM,4006.88,3876.0,3192,6447,17644,66.78
EHAM_EDDM,3665.83,3682.0,3193,4456,17337,61.1
LEBL_LEIB,2069.78,2074.0,1570,2591,17136,34.5
EDDL_EDDM,2989.09,2982.0,2576,3543,17085,49.82
EHAM_LSZH,3856.39,3766.0,3327,5719,16827,64.27
LFPO_LEBL,4471.65,4432.0,4008,5066,16750,74.53
EGLL_EKCH,4757.1,4720.0,4242,5723,16649,79.29
EKYT_EKCH,1867.32,1775.0,1471,3108,16648,31.12
EHAM_EGCC,3308.89,3283.0,2834,3969,16591,55.15
LFPG_EHAM,2714.59,2684.0,2425,3300,16518,45.24
LPPR_LEMD,2890.87,2845.0,2464,4192,16440,48.18
EDDH_EDDF,2859.21,2804.0,2381,3309,16380,47.65
LSZI_LSZI,1534.96,1409.0,607,2755,16363,25.58
LEIB_LEMD,3004.31,2932.0,2471,4037,16344,50.07
EDDF_EDDB,2742.76,2760.0,2334,3083,16315,45.71
EDDH_LEPA,10275.61,8241.0,7278,45217,16281,171.26
EDVM_EDVM,3309.92,2990.0,624,5836,16279,55.17
EGKK_LEPA,6549.63,6482.0,5833,7501,16167,109.16
EGPF_EGLL,4136.57,4187.0,3228,4711,16065,68.94
EGLC_EHAM,2450.16,2442.0,2167,2865,15962,40.84
LFPO_LFMN,4015.88,3987.0,3674,4524,15663,66.93
LKHK_LKHK,3074.7,2917.0,725,6079,15633,51.24
EGGP_EGGP,6022.71,3293.0,1467,37313,15416,100.38
LOGG_LOGG,3415.37,2921.0,947,8473,15215,56.92
EDDM_EHAM,4018.42,3978.0,3444,4665,15206,66.97
EDDL_LTAI,11806.23,11777.0,10943,12862,15053,196.77
LTAI_EDDL,11945.96,11854.0,11446,12978,15003,199.1
EGCC_EIDW,2394.78,2294.0,1869,3430,14814,39.91
EGLL_LTFM,12167.95,11703.0,10946,16844,14746,202.8
EIDW_EGPH,2865.16,2991.0,2162,3452,14565,47.75
LEMD_LEIB,2929.63,2694.0,2287,22045,14508,48.83
LPPR_LPPT,2827.45,2504.0,2016,18294,14396,47.12
LICJ_LIRF,2666.56,2644.0,2282,3057,14384,44.44
EDDK_LEPA,6572.12,6539.0,5997,7399,14382,109.54
LTFJ_LTFE,3086.23,3075.0,2560,5251,14266,51.44
LEPA_EDDH,8375.17,8386.0,7611,9016,14150,139.59
EGCC_LEPA,7846.63,7732.0,7110,8444,14137,130.78
LECU_LECU,3687.36,3479.0,689,6776,14047,61.46
LSPA_LSPA,1671.66,1160.0,642,4145,14017,27.86
LTAI_EDDK,12082.28,11989.0,11269,13400,13785,201.37
EGWN_EGWN,3241.9,3003.0,623,6513,13715,54.03
EGLL_EGLL,63523.57,62452.0,6801,76575,13526,1058.73
EGLL_LEBL,5739.34,5669.0,5203,6374,13500,95.66
EDDM_EDDF,4095.87,2137.0,1855,52185,13497,68.26
LEMG_EHAM,9193.97,9181.0,8457,9988,13343,153.23
EHMZ_EHMZ,6231.42,6323.0,941,11678,13297,103.86
LEMD_EDDF,7333.21,7274.0,6669,8026,13294,122.22
EDMA_EDMA,6371.61,4075.0,656,16835,13231,106.19
LEPA_EDDF,6841.87,6855.0,6322,7378,13034,114.03
ENGM_ENZV,2338.47,2333.0,2049,3192,12918,38.97
EDLM_EDLM,2568.67,2681.0,1015,4502,12912,42.81
ENZV_ENBR,1789.37,1628.0,1105,6737,12859,29.82
EDQX_EDQX,3814.17,1753.0,627,11749,12814,63.57
ENBO_ENGM,4821.27,4588.0,4041,10470,12737,80.35
EG32_EG32,4183.23,4042.0,1009,7209,12616,69.72
EGVN_EGVN,9894.21,11083.0,1002,16084,12404,164.9
EDDM_EDDL,2973.29,2953.0,2629,3672,12368,49.55
LFPG_EDDM,3887.28,3906.0,3593,4261,12334,64.79
LTAI_LTFM,5196.94,3344.0,2856,45659,12261,86.62
EGPH_EIDW,3118.05,3297.0,2064,4100,12181,51.97
ENBO_ENVA,4799.73,5734.0,2654,7247,12178,80.0
LEAL_EGKK,7701.5,7547.0,7026,8548,12156,128.36
LGAV_LIRF,5653.02,5615.0,5080,6141,12007,94.22
LIML_LICZ,4938.42,4928.0,4450,5392,11903,82.31
LPEV_LPEV,4648.2,5014.0,2473,7653,11891,77.47
EDDF_EDDM,2032.75,2004.0,1690,2498,11889,33.88
LTFM_OMDB,21899.02,14162.0,12624,69034,11766,364.98
EGNU_EGNU,4521.41,3975.0,655,8401,11748,75.36
ENGM_ENBO,3913.84,3772.0,3500,5419,11631,65.23
EGCJ_EGCJ,2236.22,1600.0,802,4418,11421,37.27
LEPA_LSZH,6008.49,6030.0,5499,6734,11284,100.14
EKCH_EKYT,1716.78,1681.0,1510,2302,11273,28.61
LEPA_EGCC,8095.67,8106.0,7322,9055,11262,134.93
LSZH_EDDB,4294.95,4312.0,3725,5080,11151,71.58
LOAN_LOAN,6418.59,4390.0,897,18484,11126,106.98
LKLT_LKLT,4506.49,4598.0,1393,7085,11000,75.11
WSSS_EGLL,50091.37,48252.0,46895,67093,10896,834.86
EIDW_EGSS,3127.13,3159.0,2725,3609,10886,52.12
EDDK_LTAI,11847.36,11791.0,11184,13483,10884,197.46
LTFJ_LTAI,3055.81,3020.0,2235,3938,10647,50.93
EHAM_LFPG,4192.62,2675.0,2392,51450,10445,69.88
EDDB_EDDF,2802.85,2787.0,2429,3228,10348,46.71
EHDP_EHDP,10320.44,4101.0,825,21148,10212,172.01
EGOV_EGOV,3972.29,3862.0,3093,4931,10142,66.2
LIRF_LIML,2759.79,2765.0,2475,3120,10063,46.0
EDDB_EDDM,2985.88,2998.0,2511,3535,10000,49.76
EDLT_EDLT,3533.34,3935.0,1232,4708,9975,58.89
LFML_LFPG,3995.45,3854.0,3507,5686,9882,66.59
EDDF_LEMD,7573.76,7437.0,6932,8598,9869,126.23
EDDF_LFPG,2904.99,2867.0,2589,3347,9790,48.42
LEBL_LEMH,1671.44,1686.0,1202,2049,9757,27.86
EDDM_LEPA,6298.91,6298.0,5813,6749,9726,104.98
EBMB_LEMD,6907.39,6798.0,6072,8502,9705,115.12
ENVA_ENBO,4318.34,5179.0,2199,6678,9639,71.97
EDPM_EDPM,974.71,875.0,612,2236,9638,16.25
LOXN_LOXN,2819.34,3019.0,692,3656,9552,46.99
LEMD_LIMC,6714.5,6075.0,5456,29396,9543,111.91
EGDX_EGDX,2836.24,3549.0,828,4503,9538,47.27
LPBJ_LPBJ,4365.67,5570.0,614,6379,9462,72.76
ENGK_ENGK,5988.64,7177.0,683,9222,9459,99.81
LTFM_LTAI,3346.35,3324.0,2644,4426,9431,55.77
EDDV_EDDV,4317.27,5066.0,623,7027,9349,71.95
EDDM_LFPG,4277.98,4118.0,3695,6385,9314,71.3
LFPG_DAAG,6608.46,6512.0,6073,7307,9247,110.14
EGLL_KORD,27675.66,27659.0,26477,29834,9177,461.26
LSZV_LSZV,3763.73,4185.0,1168,6382,9177,62.73
EDFM_EDFM,2901.35,3178.0,1547,3673,9062,48.36
